#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.822576738	0.00E+00
cg00001349	0.77902265	0.00E+00
cg00001583	0.133704838	0.00E+00
cg00002028	0.137513333	0.00E+00
cg00002719	0.077755675	0.00E+00
cg00002837	0.458911633	0.00E+00
cg00385956	0.908842971	0.00E+00
cg00069017	0.137268324	0.00E+00
cg27053975	0.866354609	0.00E+00
cg17757848	0.916964544	0.00E+00
cg13480774	0.757847534	0.00E+00
cg18894878	0.855779684	0.00E+00
cg19241352	0.934320649	0.00E+00
cg23968893	0.813391197	0.00E+00
cg24453820	0.888590123	0.00E+00
cg24586196	0.877055194	0.00E+00
cg26308818	0.853846154	0.00E+00
cg13249256	0.885436798	0.00E+00
cg13212575	0.887976159	0.00E+00
cg11336590	0.874028574	0.00E+00
cg05446994	0.139663206	0.00E+00
cg06612452	0.148625309	0.00E+00
cg10827226	0.888273507	0.00E+00
cg12446953	0.146810609	0.00E+00
cg14151682	0.071826805	0.00E+00
cg14452549	0.759944959	0.00E+00
cg17508639	0.644673906	0.00E+00
cg17975245	0.128380528	0.00E+00
cg20596348	0.114285714	0.00E+00
cg20694964	0.88049587	0.00E+00
cg20697630	0.200268632	0.00E+00
cg21499909	0.122960963	0.00E+00
cg21537245	0.086419753	0.00E+00
cg23993660	0.11649395	0.00E+00
cg24455365	0.287033958	0.00E+00
cg24608458	0.843669468	0.00E+00
cg25108841	0.102523659	0.00E+00
cg25469870	0.838062638	0.00E+00
cg27395190	0.052994123	0.00E+00
