#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.82181216	0.00E+00
cg00001349	0.769132229	0.00E+00
cg00001583	0.101236415	0.00E+00
cg00002028	0.124496035	0.00E+00
cg00002719	0.086413862	0.00E+00
cg00002837	0.548570347	0.00E+00
cg00385956	0.9		      0.00E+00
cg00069017	0.118431731	0.00E+00
cg27053975	0.865302774	0.00E+00
cg17757848	0.914399129	0.00E+00
cg13480774	0.79036682	0.00E+00
cg18894878	0.865497076	0.00E+00
cg19241352	0.931108355	0.00E+00
cg23968893	0.792045352	0.00E+00
cg24453820	0.899430259	0.00E+00
cg24586196	0.892371018	0.00E+00
cg26308818	0.84773959	0.00E+00
cg13249256	0.887621288	0.00E+00
cg13212575	0.8973653	  0.00E+00
cg11336590	0.875917143	0.00E+00
cg05446994	0.100898731	0.00E+00
cg06612452	0.154595154	0.00E+00
cg10827226	0.868789474	0.00E+00
cg12446953	0.144345546	0.00E+00
cg14151682	0.061406364	0.00E+00
cg14452549	0.765080367	0.00E+00
cg17508639	0.692147818	0.00E+00
cg17975245	0.10323545	0.00E+00
cg20596348	0.099231417	0.00E+00
cg20694964	0.867190289	0.00E+00
cg20697630	0.176900236	0.00E+00
cg21499909	0.109287734	0.00E+00
cg21537245	0.071915383	0.00E+00
cg23993660	0.112012734	0.00E+00
cg24455365	0.281480046	0.00E+00
cg24608458	0.803015075	0.00E+00
cg25108841	0.082474893	0.00E+00
cg25469870	0.827299614	0.00E+00
cg27395190	0.063312061	0.00E+00

