#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.841488944	0.00E+00
cg00001349	0.810761597	0.00E+00
cg00001583	0.152546596	0.00E+00
cg00002028	0.095588235	0.00E+00
cg00002719	0.103046336	0.00E+00
cg00002837	0.465131483	0.00E+00
cg00385956	0.871408222	0.00E+00
cg00069017	0.108936767	0.00E+00
cg27053975	0.879312865	0.00E+00
cg17757848	0.909511288	0.00E+00
cg13480774	0.79419121	0.00E+00
cg18894878	0.834733327	0.00E+00
cg19241352	0.91885484	0.00E+00
cg23968893	0.789884763	0.00E+00
cg24453820	0.838740707	0.00E+00
cg24586196	0.856819358	0.00E+00
cg26308818	0.79331751	0.00E+00
cg13249256	0.885781276	0.00E+00
cg13212575	0.877148313	0.00E+00
cg11336590	0.89203473	0.00E+00
cg05446994	0.108603309	0.00E+00
cg06612452	0.121156773	0.00E+00
cg10827226	0.876291136	0.00E+00
cg12446953	0.172809668	0.00E+00
cg14151682	0.069476242	0.00E+00
cg14452549	0.77953668	0.00E+00
cg17508639	0.610072221	0.00E+00
cg17975245	0.117614201	0.00E+00
cg20596348	0.088704727	0.00E+00
cg20694964	0.874826389	0.00E+00
cg20697630	0.142164854	0.00E+00
cg21499909	0.121870091	0.00E+00
cg21537245	0.08303868	0.00E+00
cg23993660	0.084189199	0.00E+00
cg24455365	0.222472634	0.00E+00
cg24608458	0.773162939	0.00E+00
cg25108841	0.067863025	0.00E+00
cg25469870	0.849319744	0.00E+00
cg27395190	0.053852945	0.00E+00
