#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.850674497	0.00E+00
cg00001349	0.737006795	0.00E+00
cg00001583	0.120705578	0.00E+00
cg00002028	0.118186398	0.00E+00
cg00002719	0.094636988	0.00E+00
cg00002837	0.502792625	0.00E+00
cg00003202	0.061415166	0.00E+00
cg00003287	0.259925868	0.00E+00
cg00385956	0.915312709	0.00E+00
cg00069017	0.130292437	0.00E+00
cg27053975	0.886217424	0.00E+00
cg17757848	0.91099202	0.00E+00
cg13480774	0.788321738	0.00E+00
cg18894878	0.830448291	0.00E+00
cg19241352	0.921954177	0.00E+00
cg23968893	0.848614904	0.00E+00
cg24453820	0.879139073	0.00E+00
cg24586196	0.883122149	0.00E+00
cg26308818	0.850689924	0.00E+00
cg13249256	0.874753396	0.00E+00
cg13212575	0.90813767	0.00E+00
cg11336590	0.895980987	0.00E+00
cg05446994	0.117237342	0.00E+00
cg06612452	0.123786143	0.00E+00
cg10827226	0.877545359	0.00E+00
cg12446953	0.150277107	0.00E+00
cg14151682	0.065656344	0.00E+00
cg14452549	0.777927063	0.00E+00
cg17508639	0.74073712	0.00E+00
cg17975245	0.114906374	0.00E+00
cg20596348	0.098459904	0.00E+00
cg20694964	0.864959089	0.00E+00
cg20697630	0.187776362	0.00E+00
cg21499909	0.123513024	0.00E+00
cg21537245	0.080670139	0.00E+00
cg23993660	0.109894418	0.00E+00
cg24455365	0.254798777	0.00E+00
cg24608458	0.832095772	0.00E+00
cg25108841	0.116231898	0.00E+00
cg25469870	0.844238587	0.00E+00
cg27395190	0.039163605	0.00E+00
