#ID_REF = 		
#VALUE = SWAN normalized Average Beta		
#Detection Pval = 		
ID_REF	VALUE	Detection Pval
cg00000957	0.824731372	0.00E+00
cg00001349	0.740386244	0.00E+00
cg00001583	0.13453044	0.00E+00
cg00002028	0.084229127	0.00E+00
cg00002719	0.139218862	0.00E+00
cg00002837	0.43164416	0.00E+00
cg00385956	0.87997149	0.00E+00
cg00069017	0.120206363	0.00E+00
cg27053975	0.84608155	0.00E+00
cg17757848	0.87130727	0.00E+00
cg13480774	0.795401817	0.00E+00
cg18894878	0.828583062	0.00E+00
cg19241352	0.910525792	0.00E+00
cg23968893	0.795104039	0.00E+00
cg24453820	0.853995145	0.00E+00
cg24586196	0.843969428	0.00E+00
cg26308818	0.787605884	0.00E+00
cg13249256	0.850330341	0.00E+00
cg13212575	0.867625494	0.00E+00
cg11336590	0.871401367	0.00E+00
cg05446994	0.135153506	0.00E+00
cg06612452	0.157848084	0.00E+00
cg10827226	0.858940237	0.00E+00
cg12446953	0.161109355	0.00E+00
cg14151682	0.06046491	0.00E+00
cg14452549	0.775312268	0.00E+00
cg17508639	0.538346494	0.00E+00
cg17975245	0.120973165	0.00E+00
cg20596348	0.101457439	0.00E+00
cg20694964	0.824147419	0.00E+00
cg20697630	0.15636765	0.00E+00
cg21499909	0.117432722	0.00E+00
cg21537245	0.078877853	0.00E+00
cg23993660	0.10370923	0.00E+00
cg24455365	0.244284311	0.00E+00
cg24608458	0.782577534	0.00E+00
cg25108841	0.086941288	0.00E+00
cg25469870	0.809941928	0.00E+00
cg27395190	0.069330541	0.00E+00
